Invoice ID,Branch,City,Customer type,Gender
861-77-0145,C,Naypyitaw,Member,Male
479-26-8945,B,Mandalay,Member,Female
210-67-5886,C,Naypyitaw,Member,Female
227-78-1148,B,Mandalay,Normal,Female
645-44-1170,A,Yangon,Member,Male
237-01-6122,C,Naypyitaw,Member,Female
225-98-1496,C,Naypyitaw,Normal,Female
291-32-1427,B,Mandalay,Member,Male
659-65-8956,B,Mandalay,Member,Male
642-32-2990,A,Yangon,Normal,Female
378-24-2715,B,Mandalay,Normal,Male
638-60-7125,A,Yangon,Normal,Female
659-36-1684,C,Naypyitaw,Member,Male
219-22-9386,B,Mandalay,Member,Male
336-78-2147,C,Naypyitaw,Member,Male
268-27-6179,B,Mandalay,Member,Female
668-90-8900,A,Yangon,Normal,Female
870-54-3162,A,Yangon,Normal,Female
189-08-9157,C,Naypyitaw,Normal,Female
663-86-9076,C,Naypyitaw,Member,Female
549-84-7482,B,Mandalay,Normal,Female
191-10-6171,B,Mandalay,Normal,Female
802-70-5316,A,Yangon,Member,Female
695-51-0018,B,Mandalay,Normal,Female
590-83-4591,B,Mandalay,Member,Male
483-71-1164,C,Naypyitaw,Normal,Female
597-78-7908,C,Naypyitaw,Normal,Male
700-81-1757,A,Yangon,Normal,Female
354-39-5160,A,Yangon,Member,Female
241-72-9525,B,Mandalay,Normal,Male
575-30-8091,A,Yangon,Normal,Male
731-81-9469,C,Naypyitaw,Member,Female
280-17-4359,C,Naypyitaw,Member,Male
338-65-2210,C,Naypyitaw,Member,Female
488-25-4221,C,Naypyitaw,Member,Female
239-10-7476,A,Yangon,Normal,Female
458-41-1477,C,Naypyitaw,Normal,Female
685-64-1609,A,Yangon,Member,Female
568-90-5112,C,Naypyitaw,Normal,Male
262-47-2794,B,Mandalay,Member,Male
238-49-0436,A,Yangon,Normal,Male
608-96-3517,B,Mandalay,Member,Female
584-86-7256,C,Naypyitaw,Member,Male
746-94-0204,A,Yangon,Normal,Male
214-17-6927,C,Naypyitaw,Normal,Female
400-89-4171,C,Naypyitaw,Normal,Female
782-95-9291,A,Yangon,Member,Male
279-74-2924,B,Mandalay,Member,Male
307-85-2293,B,Mandalay,Normal,Male
743-04-1105,B,Mandalay,Member,Male
423-57-2993,B,Mandalay,Normal,Male
894-41-5205,C,Naypyitaw,Normal,Female
275-28-0149,A,Yangon,Normal,Male
101-17-6199,A,Yangon,Normal,Male
423-80-0988,C,Naypyitaw,Normal,Male
548-46-9322,B,Mandalay,Normal,Male
505-02-0892,B,Mandalay,Member,Male
234-65-2137,C,Naypyitaw,Normal,Male
687-47-8271,A,Yangon,Normal,Male
796-32-9050,A,Yangon,Normal,Male
105-31-1824,A,Yangon,Member,Male
249-42-3782,A,Yangon,Normal,Male
316-55-4634,B,Mandalay,Member,Male
733-33-4967,C,Naypyitaw,Normal,Male
608-27-6295,B,Mandalay,Member,Male
414-12-7047,B,Mandalay,Normal,Male
827-26-2100,A,Yangon,Member,Male
175-54-2529,A,Yangon,Member,Male
139-52-2867,C,Naypyitaw,Normal,Female
407-63-8975,A,Yangon,Normal,Male
342-65-4817,C,Naypyitaw,Member,Male
130-98-8941,C,Naypyitaw,Normal,Male
434-83-9547,C,Naypyitaw,Member,Male
851-28-6367,A,Yangon,Member,Male
824-88-3614,C,Naypyitaw,Normal,Male
586-25-0848,A,Yangon,Normal,Female
895-66-0685,B,Mandalay,Member,Male
305-14-0245,B,Mandalay,Member,Female
732-04-5373,B,Mandalay,Member,Male
400-60-7251,A,Yangon,Normal,Male
593-65-1552,C,Naypyitaw,Normal,Female
284-34-9626,B,Mandalay,Normal,Female
437-58-8131,B,Mandalay,Normal,Female
286-43-6208,C,Naypyitaw,Normal,Female
641-43-2399,B,Mandalay,Normal,Male
831-07-6050,A,Yangon,Normal,Male
556-86-3144,C,Naypyitaw,Member,Female
848-24-9445,C,Naypyitaw,Member,Male
856-22-8149,A,Yangon,Normal,Female
699-01-4164,C,Naypyitaw,Normal,Male
420-11-4919,C,Naypyitaw,Member,Female
606-80-4905,C,Naypyitaw,Member,Female
542-41-0513,B,Mandalay,Member,Female
426-39-2418,C,Naypyitaw,Normal,Male
875-46-5808,B,Mandalay,Member,Male
394-43-4238,B,Mandalay,Member,Male
749-24-1565,A,Yangon,Normal,Female
672-51-8681,C,Naypyitaw,Member,Female
263-87-5680,C,Naypyitaw,Member,Female
573-58-9734,B,Mandalay,Normal,Female
817-69-8206,B,Mandalay,Normal,Female
888-02-0338,A,Yangon,Normal,Male
677-11-0152,C,Naypyitaw,Normal,Female
142-63-6033,B,Mandalay,Normal,Male
656-16-1063,B,Mandalay,Normal,Male
891-58-8335,B,Mandalay,Member,Female
802-43-8934,A,Yangon,Normal,Male
560-30-5617,B,Mandalay,Normal,Female
319-74-2561,A,Yangon,Member,Female
549-03-9315,B,Mandalay,Normal,Male
790-29-1172,B,Mandalay,Normal,Female
239-36-3640,B,Mandalay,Normal,Male
468-01-2051,B,Mandalay,Normal,Male
389-25-3394,C,Naypyitaw,Normal,Male
279-62-1445,C,Naypyitaw,Member,Female
213-72-6612,A,Yangon,Normal,Male
746-68-6593,C,Naypyitaw,Member,Female
836-82-5858,B,Mandalay,Member,Male
583-72-1480,C,Naypyitaw,Member,Male
466-61-5506,B,Mandalay,Member,Female
721-86-6247,A,Yangon,Normal,Female
289-65-5721,B,Mandalay,Normal,Female
545-46-3100,B,Mandalay,Member,Female
418-02-5978,B,Mandalay,Normal,Female
269-04-5750,B,Mandalay,Member,Male
157-13-5295,A,Yangon,Member,Male
645-78-8093,A,Yangon,Normal,Female
211-30-9270,C,Naypyitaw,Normal,Male
755-12-3214,C,Naypyitaw,Member,Female
346-84-3103,B,Mandalay,Member,Female
478-06-7835,A,Yangon,Normal,Male
540-11-4336,A,Yangon,Normal,Male
448-81-5016,A,Yangon,Normal,Male
142-72-4741,C,Naypyitaw,Member,Male
217-58-1179,A,Yangon,Member,Male
376-02-8238,B,Mandalay,Normal,Male
530-90-9855,A,Yangon,Member,Male
866-05-7563,B,Mandalay,Member,Female
604-70-6476,A,Yangon,Member,Male
799-71-1548,A,Yangon,Member,Male
785-13-7708,B,Mandalay,Normal,Male
845-51-0542,B,Mandalay,Member,Male
662-47-5456,C,Naypyitaw,Member,Male
883-17-4236,C,Naypyitaw,Normal,Female
290-68-2984,A,Yangon,Normal,Male
704-11-6354,A,Yangon,Member,Male
110-48-7033,B,Mandalay,Member,Male
366-93-0948,A,Yangon,Member,Male
729-09-9681,A,Yangon,Member,Male
151-16-1484,A,Yangon,Member,Male
380-94-4661,C,Naypyitaw,Member,Male
850-41-9669,A,Yangon,Normal,Female
821-07-3596,C,Naypyitaw,Normal,Female
655-85-5130,B,Mandalay,Member,Female
447-15-7839,A,Yangon,Member,Female
154-74-7179,B,Mandalay,Normal,Male
253-12-6086,A,Yangon,Member,Female
808-65-0703,C,Naypyitaw,Normal,Male
571-94-0759,B,Mandalay,Member,Female
144-51-6085,A,Yangon,Member,Male
731-14-2199,A,Yangon,Member,Female
783-09-1637,B,Mandalay,Normal,Female
687-15-1097,C,Naypyitaw,Member,Female
126-54-1082,A,Yangon,Member,Female
633-91-1052,A,Yangon,Normal,Female
477-24-6490,B,Mandalay,Normal,Female
566-19-5475,B,Mandalay,Normal,Male
526-86-8552,C,Naypyitaw,Member,Female
376-56-3573,C,Naypyitaw,Normal,Female
537-72-0426,C,Naypyitaw,Member,Male
828-61-5674,A,Yangon,Member,Male
136-08-6195,A,Yangon,Normal,Female
523-38-0215,C,Naypyitaw,Normal,Male
490-29-1201,A,Yangon,Normal,Female
667-92-0055,A,Yangon,Member,Male
565-17-3836,A,Yangon,Member,Female
498-41-1961,B,Mandalay,Normal,Male
593-95-4461,C,Naypyitaw,Member,Male
226-71-3580,C,Naypyitaw,Normal,Female
283-79-9594,B,Mandalay,Normal,Female
430-60-3493,A,Yangon,Member,Female
139-20-0155,B,Mandalay,Member,Male
558-80-4082,C,Naypyitaw,Normal,Male
278-97-7759,A,Yangon,Member,Female
316-68-6352,A,Yangon,Member,Female
585-03-5943,B,Mandalay,Normal,Male
211-05-0490,C,Naypyitaw,Member,Female
727-75-6477,C,Naypyitaw,Normal,Male
744-02-5987,A,Yangon,Member,Male
307-83-9164,A,Yangon,Member,Male
779-06-0012,C,Naypyitaw,Member,Female
446-47-6729,C,Naypyitaw,Normal,Male
573-10-3877,B,Mandalay,Member,Male
735-06-4124,C,Naypyitaw,Normal,Male
439-54-7422,A,Yangon,Normal,Female
396-90-2219,B,Mandalay,Normal,Female
411-77-0180,A,Yangon,Member,Male
286-01-5402,A,Yangon,Normal,Female
803-17-8013,A,Yangon,Member,Female
512-98-1403,A,Yangon,Member,Female
848-42-2560,A,Yangon,Normal,Female
532-59-7201,B,Mandalay,Member,Male
181-94-6432,C,Naypyitaw,Member,Male
870-76-1733,A,Yangon,Member,Female
423-64-4619,A,Yangon,Member,Female
227-07-4446,C,Naypyitaw,Member,Female
174-36-3675,C,Naypyitaw,Member,Male
428-83-5800,C,Naypyitaw,Member,Female
603-07-0961,C,Naypyitaw,Member,Male
704-20-4138,C,Naypyitaw,Member,Female
787-15-1757,C,Naypyitaw,Member,Male
649-11-3678,C,Naypyitaw,Normal,Female
622-20-1945,C,Naypyitaw,Normal,Female
372-94-8041,A,Yangon,Normal,Male
563-91-7120,A,Yangon,Normal,Female
746-54-5508,A,Yangon,Normal,Male
276-54-0879,B,Mandalay,Normal,Male
815-11-1168,A,Yangon,Member,Male
719-76-3868,C,Naypyitaw,Member,Male
730-61-8757,B,Mandalay,Member,Male
340-66-0321,A,Yangon,Member,Male
868-81-1752,B,Mandalay,Normal,Male
634-97-8956,A,Yangon,Normal,Male
566-71-1091,A,Yangon,Normal,Male
442-48-3607,A,Yangon,Member,Male
835-16-0096,C,Naypyitaw,Member,Male
527-09-6272,A,Yangon,Member,Female
898-04-2717,A,Yangon,Normal,Male
692-27-8933,B,Mandalay,Normal,Female
633-09-3463,C,Naypyitaw,Normal,Female
374-17-3652,B,Mandalay,Member,Female
378-07-7001,B,Mandalay,Member,Male
433-75-6987,B,Mandalay,Member,Female
873-95-4984,B,Mandalay,Member,Female
416-13-5917,C,Naypyitaw,Normal,Female
150-89-8043,A,Yangon,Normal,Male
135-84-8019,A,Yangon,Normal,Female
441-94-7118,A,Yangon,Member,Male
725-96-3778,C,Naypyitaw,Member,Female
531-80-1784,A,Yangon,Normal,Male
400-45-1220,B,Mandalay,Normal,Female
860-79-0874,C,Naypyitaw,Member,Female
834-61-8124,A,Yangon,Normal,Male
115-99-4379,B,Mandalay,Member,Female
565-67-6697,B,Mandalay,Member,Male
320-49-6392,C,Naypyitaw,Normal,Female
889-04-9723,B,Mandalay,Member,Female
632-90-0281,C,Naypyitaw,Normal,Female
554-42-2417,C,Naypyitaw,Normal,Female
453-63-6187,B,Mandalay,Normal,Male
578-80-7669,B,Mandalay,Normal,Male
612-36-5536,A,Yangon,Member,Male
605-72-4132,C,Naypyitaw,Normal,Female
471-41-2823,C,Naypyitaw,Normal,Male
462-67-9126,A,Yangon,Normal,Male
272-27-9238,C,Naypyitaw,Normal,Female
834-25-9262,C,Naypyitaw,Normal,Female
122-61-9553,C,Naypyitaw,Normal,Female
468-88-0009,A,Yangon,Member,Male
613-59-9758,C,Naypyitaw,Normal,Female
254-31-0042,A,Yangon,Member,Male
201-86-2184,B,Mandalay,Member,Female
261-12-8671,B,Mandalay,Normal,Female
730-70-9830,C,Naypyitaw,Normal,Female
382-25-8917,C,Naypyitaw,Normal,Male
422-29-8786,A,Yangon,Normal,Female
667-23-5919,A,Yangon,Member,Female
843-01-4703,B,Mandalay,Member,Female
743-88-1662,C,Naypyitaw,Normal,Male
595-86-2894,C,Naypyitaw,Member,Male
182-69-8360,B,Mandalay,Normal,Female
289-15-7034,A,Yangon,Member,Male
462-78-5240,C,Naypyitaw,Normal,Female
868-52-7573,B,Mandalay,Normal,Female
153-58-4872,C,Naypyitaw,Member,Female
662-72-2873,A,Yangon,Normal,Female
525-88-7307,B,Mandalay,Member,Male
689-16-9784,C,Naypyitaw,Normal,Male
725-56-0833,A,Yangon,Normal,Female
394-41-0748,C,Naypyitaw,Member,Female
596-42-3999,B,Mandalay,Normal,Male
541-89-9860,C,Naypyitaw,Member,Female
173-82-9529,B,Mandalay,Normal,Female
563-36-9814,A,Yangon,Member,Male
308-47-4913,A,Yangon,Member,Female
885-17-6250,A,Yangon,Normal,Female
726-27-2396,A,Yangon,Normal,Female
316-01-3952,A,Yangon,Normal,Female
760-54-1821,B,Mandalay,Normal,Male
793-10-3222,B,Mandalay,Member,Female
346-12-3257,B,Mandalay,Member,Male
110-05-6330,C,Naypyitaw,Normal,Female
651-61-0874,C,Naypyitaw,Normal,Male
236-86-3015,C,Naypyitaw,Member,Male
831-64-0259,B,Mandalay,Normal,Female
587-03-7455,C,Naypyitaw,Member,Female
882-40-4577,A,Yangon,Member,Male
732-67-5346,A,Yangon,Normal,Male
725-32-9708,B,Mandalay,Member,Female
256-08-8343,A,Yangon,Normal,Female
372-26-1506,C,Naypyitaw,Normal,Female
244-08-0162,B,Mandalay,Normal,Female
569-71-4390,B,Mandalay,Normal,Male
132-23-6451,A,Yangon,Member,Male
696-90-2548,A,Yangon,Normal,Male
472-15-9636,A,Yangon,Normal,Male
268-03-6164,B,Mandalay,Normal,Male
750-57-9686,C,Naypyitaw,Normal,Female
186-09-3669,C,Naypyitaw,Member,Female
848-07-1692,B,Mandalay,Normal,Female
745-71-3520,A,Yangon,Member,Female
266-76-6436,C,Naypyitaw,Member,Female
740-22-2500,C,Naypyitaw,Normal,Female
271-88-8734,C,Naypyitaw,Member,Female
301-81-8610,B,Mandalay,Member,Male
489-64-4354,C,Naypyitaw,Normal,Male
198-84-7132,B,Mandalay,Member,Male
269-10-8440,A,Yangon,Member,Male
650-98-6268,B,Mandalay,Member,Female
741-73-3559,B,Mandalay,Normal,Male
325-77-6186,A,Yangon,Member,Female
286-75-7818,B,Mandalay,Normal,Male
574-57-9721,C,Naypyitaw,Normal,Male
459-50-7686,A,Yangon,Normal,Female
616-87-0016,B,Mandalay,Normal,Male
837-55-7229,B,Mandalay,Normal,Female
751-69-0068,C,Naypyitaw,Normal,Male
257-73-1380,C,Naypyitaw,Member,Male
345-08-4992,A,Yangon,Normal,Male
549-96-4200,C,Naypyitaw,Member,Male
810-60-6344,C,Naypyitaw,Normal,Female
450-28-2866,C,Naypyitaw,Member,Male
394-30-3170,B,Mandalay,Member,Female
138-17-5109,A,Yangon,Member,Female
192-98-7397,C,Naypyitaw,Normal,Male
301-11-9629,A,Yangon,Normal,Female
390-80-5128,B,Mandalay,Member,Female
235-46-8343,C,Naypyitaw,Member,Male
453-12-7053,C,Naypyitaw,Normal,Male
296-11-7041,B,Mandalay,Member,Female
449-27-2918,B,Mandalay,Member,Female
891-01-7034,B,Mandalay,Normal,Female
744-09-5786,B,Mandalay,Normal,Male
727-17-0390,A,Yangon,Normal,Female
568-88-3448,A,Yangon,Normal,Male
187-83-5490,A,Yangon,Member,Male
767-54-1907,B,Mandalay,Member,Female
710-46-4433,B,Mandalay,Member,Female
533-33-5337,B,Mandalay,Normal,Male
325-90-8763,C,Naypyitaw,Member,Female
729-46-7422,C,Naypyitaw,Normal,Male
639-76-1242,C,Naypyitaw,Normal,Male
234-03-4040,B,Mandalay,Member,Female
326-71-2155,C,Naypyitaw,Normal,Female
320-32-8842,C,Naypyitaw,Member,Female
470-32-9057,A,Yangon,Member,Male
878-30-2331,C,Naypyitaw,Member,Female
440-59-5691,C,Naypyitaw,Member,Female
554-53-3790,B,Mandalay,Normal,Male
746-19-0921,C,Naypyitaw,Normal,Male
233-34-0817,C,Naypyitaw,Member,Female
767-05-1286,C,Naypyitaw,Member,Female
340-21-9136,A,Yangon,Member,Female
405-31-3305,A,Yangon,Member,Male
731-59-7531,B,Mandalay,Member,Male
676-39-6028,A,Yangon,Member,Female
502-05-1910,A,Yangon,Normal,Male
485-30-8700,A,Yangon,Normal,Female
598-47-9715,C,Naypyitaw,Normal,Male
701-69-8742,B,Mandalay,Normal,Male
575-67-1508,A,Yangon,Normal,Male
541-08-3113,C,Naypyitaw,Normal,Male
246-11-3901,C,Naypyitaw,Normal,Female
674-15-9296,A,Yangon,Normal,Male
305-18-3552,B,Mandalay,Member,Male
493-65-6248,C,Naypyitaw,Member,Female
438-01-4015,B,Mandalay,Member,Female
709-58-4068,B,Mandalay,Normal,Female
795-49-7276,A,Yangon,Normal,Male
556-72-8512,C,Naypyitaw,Normal,Male
627-95-3243,B,Mandalay,Member,Female
686-41-0932,B,Mandalay,Normal,Female
510-09-5628,A,Yangon,Member,Female
608-04-3797,B,Mandalay,Member,Female
148-82-2527,C,Naypyitaw,Member,Female
437-53-3084,B,Mandalay,Normal,Male
632-32-4574,B,Mandalay,Normal,Male
556-97-7101,C,Naypyitaw,Normal,Female
862-59-8517,C,Naypyitaw,Normal,Female
401-18-8016,B,Mandalay,Member,Female
420-18-8989,A,Yangon,Member,Female
277-63-2961,B,Mandalay,Member,Male
573-98-8548,C,Naypyitaw,Member,Female
620-02-2046,C,Naypyitaw,Normal,Male
282-35-2475,B,Mandalay,Normal,Female
511-54-3087,B,Mandalay,Normal,Male
726-29-6793,A,Yangon,Member,Male
387-49-4215,B,Mandalay,Member,Female
862-17-9201,B,Mandalay,Normal,Female
291-21-5991,B,Mandalay,Member,Male
602-80-9671,C,Naypyitaw,Member,Female
347-72-6115,B,Mandalay,Member,Female
209-61-0206,A,Yangon,Normal,Female
595-27-4851,A,Yangon,Normal,Female
189-52-0236,A,Yangon,Normal,Male
503-07-0930,C,Naypyitaw,Member,Male
413-20-6708,C,Naypyitaw,Member,Female
425-85-2085,B,Mandalay,Member,Male
521-18-7827,C,Naypyitaw,Member,Male
220-28-1851,A,Yangon,Normal,Male
600-38-9738,C,Naypyitaw,Member,Male
734-91-1155,B,Mandalay,Normal,Female
451-28-5717,C,Naypyitaw,Member,Female
609-81-8548,A,Yangon,Member,Female
133-14-7229,C,Naypyitaw,Normal,Male
534-01-4457,A,Yangon,Normal,Male
719-89-8991,A,Yangon,Member,Female
286-62-6248,B,Mandalay,Normal,Male
339-38-9982,B,Mandalay,Member,Male
827-44-5872,B,Mandalay,Member,Female
827-77-7633,A,Yangon,Normal,Male
287-83-1405,A,Yangon,Normal,Male
435-13-4908,A,Yangon,Member,Male
857-67-9057,B,Mandalay,Normal,Male
236-27-1144,C,Naypyitaw,Normal,Female
892-05-6689,A,Yangon,Normal,Female
583-41-4548,C,Naypyitaw,Normal,Male
339-12-4827,B,Mandalay,Member,Female
643-38-7867,A,Yangon,Normal,Male
308-81-0538,A,Yangon,Normal,Female
358-88-9262,C,Naypyitaw,Member,Female
460-35-4390,A,Yangon,Normal,Male
343-87-0864,C,Naypyitaw,Member,Male
173-50-1108,B,Mandalay,Member,Female
243-47-2663,C,Naypyitaw,Member,Male
841-18-8232,B,Mandalay,Normal,Female
701-23-5550,B,Mandalay,Member,Male
647-50-1224,A,Yangon,Normal,Female
541-48-8554,A,Yangon,Normal,Male
539-21-7227,B,Mandalay,Normal,Female
213-32-1216,A,Yangon,Normal,Female
747-58-7183,B,Mandalay,Normal,Male
582-52-8065,B,Mandalay,Normal,Female
210-57-1719,B,Mandalay,Normal,Female
399-69-4630,C,Naypyitaw,Normal,Male
134-75-2619,A,Yangon,Member,Male
356-44-8813,B,Mandalay,Normal,Male
198-66-9832,B,Mandalay,Member,Female
283-26-5248,C,Naypyitaw,Member,Female
712-39-0363,A,Yangon,Member,Male
218-59-9410,A,Yangon,Member,Female
174-75-0888,B,Mandalay,Normal,Male
866-99-7614,C,Naypyitaw,Normal,Male
134-54-4720,B,Mandalay,Normal,Female
760-90-2357,A,Yangon,Member,Male
514-37-2845,B,Mandalay,Normal,Male
698-98-5964,A,Yangon,Normal,Female
718-57-9773,C,Naypyitaw,Normal,Female
651-88-7328,A,Yangon,Normal,Female
241-11-2261,B,Mandalay,Normal,Female
408-26-9866,C,Naypyitaw,Normal,Female
834-83-1826,B,Mandalay,Member,Female
343-61-3544,B,Mandalay,Member,Male
239-48-4278,A,Yangon,Member,Male
355-34-6244,B,Mandalay,Normal,Male
550-84-8664,A,Yangon,Normal,Male
339-96-8318,B,Mandalay,Member,Male
458-61-0011,B,Mandalay,Normal,Male
592-34-6155,C,Naypyitaw,Normal,Male
797-88-0493,A,Yangon,Normal,Female
207-73-1363,B,Mandalay,Normal,Male
390-31-6381,C,Naypyitaw,Normal,Male
443-82-0585,A,Yangon,Member,Female
339-18-7061,C,Naypyitaw,Member,Female
359-90-3665,B,Mandalay,Member,Female
375-72-3056,B,Mandalay,Normal,Male
127-47-6963,A,Yangon,Normal,Male
278-86-2735,A,Yangon,Normal,Female
695-28-6250,A,Yangon,Normal,Female
379-17-6588,C,Naypyitaw,Normal,Male
227-50-3718,A,Yangon,Normal,Male
302-15-2162,C,Naypyitaw,Member,Male
788-07-8452,C,Naypyitaw,Member,Female
560-49-6611,A,Yangon,Member,Female
880-35-0356,A,Yangon,Member,Female
585-11-6748,B,Mandalay,Member,Male
470-31-3286,B,Mandalay,Normal,Male
152-68-2907,A,Yangon,Normal,Male
123-35-4896,C,Naypyitaw,Normal,Female
258-69-7810,C,Naypyitaw,Normal,Female
334-64-2006,A,Yangon,Member,Female
219-61-4139,C,Naypyitaw,Normal,Male
881-41-7302,C,Naypyitaw,Normal,Female
373-09-4567,C,Naypyitaw,Normal,Male
642-30-6693,B,Mandalay,Normal,Female
484-22-8230,C,Naypyitaw,Member,Female
830-58-2383,B,Mandalay,Normal,Male
559-98-9873,A,Yangon,Member,Female
544-32-5024,C,Naypyitaw,Member,Female
318-12-0304,A,Yangon,Normal,Male
349-97-8902,B,Mandalay,Member,Male
421-95-9805,A,Yangon,Normal,Female
277-35-5865,C,Naypyitaw,Member,Female
789-23-8625,B,Mandalay,Member,Male
284-54-4231,C,Naypyitaw,Member,Male
443-59-0061,A,Yangon,Member,Male
509-29-3912,A,Yangon,Member,Female
327-40-9673,B,Mandalay,Member,Male
840-19-2096,C,Naypyitaw,Member,Male
828-46-6863,A,Yangon,Member,Male
641-96-3695,C,Naypyitaw,Member,Female
420-97-3340,A,Yangon,Normal,Female
436-54-4512,A,Yangon,Member,Female
670-79-6321,B,Mandalay,Member,Female
852-62-7105,B,Mandalay,Normal,Female
598-06-7312,B,Mandalay,Member,Male
135-13-8269,B,Mandalay,Member,Female
816-57-2053,A,Yangon,Normal,Male
628-90-8624,B,Mandalay,Member,Male
856-66-2701,A,Yangon,Member,Male
308-39-1707,A,Yangon,Normal,Female
149-61-1929,A,Yangon,Normal,Male
655-07-2265,A,Yangon,Normal,Male
589-02-8023,A,Yangon,Member,Male
420-04-7590,B,Mandalay,Normal,Male
182-88-2763,B,Mandalay,Member,Male
188-55-0967,B,Mandalay,Member,Male
610-46-4100,A,Yangon,Normal,Male
318-81-2368,C,Naypyitaw,Normal,Female
